username,photosCount,commentsCount,likesCount
"paolomantovan",0.0,1,15
"biancolavanda",14,34,28
"darwicca",0.0,1,1
"lolomazen",0.0,1,2
"modelcard",0.0,1,0.0
"mettepbo",0.0,1,5
"camaleonicos",0.0,1,2
"mirktonno86",0.0,1,5
"milano.milan",0.0,20,1141
"tommaso2014",0.0,1,38
"mr._red",0.0,1,2
"t__anya",0.0,1,0.0
"yourexpo2015",109,17,3287
"confeblu",0.0,1,0.0
"hunnybzz",0.0,1,2
"detroit75_kitchen",0.0,1,0.0
"silviafrik",0.0,1,0.0
"cara_cori",0.0,1,0.0
"lu_firovi",38,56,407
"elemacchia",0.0,2,9
"microfingers",0.0,3,14
"sun_star_heaven",0.0,1,0.0
"francy6103",0.0,2,0.0
"winniethepucch",0.0,1,0.0
"partynerdz",0.0,1,0.0
"_mbar",0.0,1,0.0
"giardiniepasticcini",37,6,267
"graffarid",0.0,1,4
"fraf8",0.0,1,9
"vidharr",0.0,1,16
"ninni_123",19,11,8
"gaia_fx",3,3,0.0
"ma_re2511",0.0,2,0.0
"lalucanaincucina",57,2,343
"annick_thiele",112,31,117
"absbeforeflabs",0.0,1,2
"annapaulamamais",0.0,1,25
"somethingaboutilo",34,1,49
"fourth5arrived",0.0,1,0.0
"caprettarossa",0.0,1,29
"ofjr",0.0,1,0.0
"marikasavini",57,7,23
"ivangiuli",0.0,1,6
"fusilli83",0.0,3,4
"simopellez",21,4,7
"baddest.dimez",0.0,1,0.0
"vale_lovis",10,4,19
"wonderlover",0.0,1,15
"ipersonaltrainer",0.0,1,5
"amnabojic7",0.0,2,10
"fi3fashion",0.0,1,3
"vitasumarte_g",8,31,150
"roberta_cardoni",11,3,165
"vivievola",0.0,5,100
"signoravmaria",0.0,1,33
"headlesschickblog",112,16,97
"angelnuci",0.0,2,25
"hafiizh_alfarrisi",0.0,1,6
"livelikelisa_",0.0,1,1
"giadifabbri",7,1,4
"heathertheisen",0.0,1,2
"alexandraizzo",0.0,1,5
"filoecindy",0.0,2,25
"alibrosso",0.0,1,42
"la_tommasino",0.0,1,15
"stearte",8,4,136
"coisasdejuh",0.0,2,4
"esc_apology",0.0,1,3
"baiamakadi",0.0,1,8
"svesergy",0.0,1,2
"nady2259",0.0,1,17
"schiavadeisogni",0.0,2,29
"etysegal",0.0,1,2
"jmadbatter",0.0,1,1
"zubioloenrico",0.0,1,4
"giochidicarta",0.0,1,6
"simona_990",44,6,8
"avitel54",2,1,21
"ele_21",68,38,129
"nemisclothing",0.0,1,1
"yumclub",0.0,1,11
"behappyandenjoy",0.0,1,4
"angelamanna1",12,1,95
"stefscakes",22,3,1131
"itsoriana_",0.0,3,170
"paulconijn",0.0,1,57
"bmoira23",0.0,1,15
"beautyfoodgeek",28,16,5
"celinedior",0.0,1,0.0
"bake.n.cake",0.0,1,0.0
"davidalgasoro",0.0,1,1
"jon_morton_seniors",0.0,1,1
"martinacastle",0.0,2,2
"euronovablog",0.0,3,268
